Version 1.1 Alarms RepoVersion 3.6.6
Name	Type	Edge	Description	CounterMax	TimeValue	StorVar1	StorVar2
Al_Low_SH_A_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_Low_SH_B_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_LOP_A_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_LOP_B_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_MOP_A_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_MOP_B_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_EEV_A_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_EEV_B_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_LowSuct_A_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_LowSuct_B_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_HiT_Cond_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_S1_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_S2_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_S3_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_S4_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_Batt_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_EEPROM_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_IncompleteClosing_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_EmergencyClosing_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_FW_CompatibErr_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_ConfigErr_EVD_1	Auto reset	Positive	Automatic generated by Alarm editor					
Al_EVD_EVO_1_Offline	Auto reset	Positive	Driver off-line					
AL_DisStartDpState_BLDC1	Disabled	Positive	DeltaP > allowable at startup - View specific mask					
Al_ComprOff_BLDC1	Disabled	Positive	Compressor shut off					
Al_OutEnv_BLDC1	Disabled	Positive	Out of Envelope - View specific mask					
Al_StartFailRetry_BLDC1	Auto reset	Positive	Starting failure wait retry					
Al_StartFailLock_BLDC1	Auto reset	Positive	Starting failure exceeded maximum attempts					
Al_LowDeltaP_BLDC1	Auto reset	Positive	Low delta pressure					
Al_HighDscgT_BLDC1	Auto reset	Positive	High discarge gas temperature					
AlEnv02_HighRatio_BLDC_1	Auto reset	Positive	Envelope zone alarm 2: high compressor ratio					
AlEnv03_HighDscg_BLDC_1	Auto reset	Positive	Envelope zone alarm 3: high discharge pressure					
AlEnv04_HighCurr_BLDC_1	Auto reset	Positive	Envelope zone alarm 4: high current					
AlEnv05_HighSuct_BLDC_1	Auto reset	Positive	Envelope zone alarm 5: low sucttion pressure					
AlEnv06_LowRatio_BLDC_1	Auto reset	Positive	Envelope zone alarm 6: low compressor ratio					
ALEnv07_LowDP_BLDC_1	Auto reset	Positive	Envelope zone alarm 7: low pressure differential					
AlEnv08_LowDscg_BLDC_1	Auto reset	Positive	Envelope zone alarm 8: low discharge pressure					
